,sorgu,label,le
87,bu ayki kredi kartı ekstremi ödeme zamanımı öğrenmek istiyorum,borcodeme,0
88,kart borcumu online bankacılık üzerinden ödemek istiyorum,borcodeme,0
89,kredi kartı borcumu düzenli olarak kontrol etmek istiyorum,borcodeme,0
90,kart borcumu kapatmak kadar ödemem gerekiyor ,borcodeme,0
91,kredi kartı borcumun güncel tutarını öğrenmek istiyorum,borcodeme,0
92,kart borcumu hemen kapatmalı mıyım yoksa taksitlendirmeli miyim ,borcodeme,0
93,kredi kartı borcumu bir defada kapatmak istiyorum,borcodeme,0
94,kart borcumu kısa sürede ödemek istiyorum,borcodeme,0
95,kredi kartı borcumu ödemek otomatik ödeme talimatı verebilir miyim ,borcodeme,0
96,anneme para göndermek istiyorum,paragonderme,2
97,para transferi yapmak istiyorum,paragonderme,2
98,fast para göndermek istiyorum,paragonderme,2
99,kayıtlı numaraya para transferi,paragonderme,2
100,para göndermek istiyorum,paragonderme,2
101,para transferi yapmak istiyorum,paragonderme,2
102,eft para göndermek istiyorum,paragonderme,2
103,havale para göndermek istiyorum,paragonderme,2
104,anneme hemen para göndermek istiyorum,paragonderme,2
105,hızlı bir şekilde para transferi yapmak istiyorum,paragonderme,2
106,banka hesabına para göndermek istiyorum,paragonderme,2
107,mobil uygulama üzerinden para transferi,paragonderme,2
108,online olarak para göndermek istiyorum,paragonderme,2
109,para transferi yapmalıyım ,paragonderme,2
110,kolay bir şekilde para göndermek istiyorum,paragonderme,2
111,anneme acil para göndermek istiyorum,paragonderme,2
112,para gönderme işlemi yapılır ,paragonderme,2
113,para transferi gereken bilgiler neler ,paragonderme,2
114,hesap numarasına para transferi yapmak istiyorum,paragonderme,2
115,kredi kartıyla para göndermek istiyorum,paragonderme,2
116,para transferi ücretleri neler ,paragonderme,2
117,mobil cüzdan üzerinden para göndermek istiyorum,paragonderme,2
118,banka şubesinden para transferi,paragonderme,2
119,hesap bilgilerini kullanarak para göndermek istiyorum,paragonderme,2
120,para transferi işlem süresi nedir ,paragonderme,2
121,anneme güvenli bir şekilde para göndermek istiyorum,paragonderme,2
122,para gönderme limiti nedir ,paragonderme,2
123,kredi kartıyla hızlı para transferi yapmak istiyorum,paragonderme,2
124,havale ücretleri neler ,paragonderme,2
125,para transferi yaparken nelere dikkat etmeliyim ,paragonderme,2
126,banka hesabıma para göndermek istiyorum,paragonderme,2
127,eft ücretleri nedir ,paragonderme,2
128,mobil uygulama üzerinden hemen para göndermek istiyorum,paragonderme,2
129,kredi kartıyla anında para transferi yapmak istiyorum,paragonderme,2
130,para gönderme işlemi güvenli mi ,paragonderme,2
131,havale yaparken nelere dikkat etmeliyim ,paragonderme,2
132,para transferi sırasında hangi bilgiler gerekli ,paragonderme,2
133,anneme online olarak para göndermek istiyorum,paragonderme,2
134,fast hızlı para göndermek istiyorum,paragonderme,2
135,hesap bilgileri olmadan para transferi yapabilir miyim ,paragonderme,2
136,banka şubesine gitmeden para göndermek istiyorum,paragonderme,2
137,para transferi yaparken alınan komisyonlar neler ,paragonderme,2
138,havale işlemi gereken bilgiler neler ,paragonderme,2
139,kredi kartıyla güvenli para transferi yapmak istiyorum,paragonderme,2
140,para gönderme işlemi sonrasında bilgilendirme alabilirim ,paragonderme,2
141,eft işlem süresi nedir ,paragonderme,2
142,mobil cüzdan kolay para transferi yapmak istiyorum,paragonderme,2
143,Müşteri hizmetleri ile iletişime geçmek istiyorum.,musterihizmetleri,3
144,Müşteri hizmetlerine ulaşmak için yardıma ihtiyacım var.,musterihizmetleri,3
145,Müşteri temsilcisi ile konuşmak istiyorum.,musterihizmetleri,3
146,Müşteri destek hattı ile iletişim kurmak istiyorum.,musterihizmetleri,3
147,Müşteri hizmetleri numarasını arayarak yardım almak istiyorum.,musterihizmetleri,3
148,Müşteri hizmetleri departmanına bağlanmak istiyorum.,musterihizmetleri,3
149,Müşteri temsilcisine doğrudan ulaşmak istiyorum.,musterihizmetleri,3
150,Müşteri destek ekibi ile görüşmem gerekiyor.,musterihizmetleri,3
151,Müşteri hizmetlerine bağlanmam lazım.,musterihizmetleri,3
152,Müşteri hizmetlerine telefonla ulaşabilir miyim?,musterihizmetleri,3
153,Müşteri hizmetlerine mail atmak istiyorum.,musterihizmetleri,3
154,Müşteri hizmetlerinden telefonla destek almak istiyorum.,musterihizmetleri,3
155,Müşteri hizmetleri temsilcisi ile görüşmek istiyorum.,musterihizmetleri,3
156,Müşteri desteği ile konuşmak istiyorum.,musterihizmetleri,3
157,Müşteri hizmetleri ile görüşmem gerekti.,musterihizmetleri,3
158,Müşteri temsilcisi ile acil olarak konuşmam lazım.,musterihizmetleri,3
159,Müşteri destek hattına bağlanmam gerekiyor.,musterihizmetleri,3
160,Müşteri hizmetleri ile irtibata geçmek istiyorum.,musterihizmetleri,3
161,Müşteri hizmetlerine yardım talebinde bulunmak istiyorum.,musterihizmetleri,3
162,Müşteri temsilcisi ile görüşme talep ediyorum.,musterihizmetleri,3
163,Müşteri hizmetlerine direk bağlantı istiyorum.,musterihizmetleri,3
164,Müşteri destek servisi ile konuşmak istiyorum.,musterihizmetleri,3
165,Müşteri hizmetleri ile bir sorunum var.,musterihizmetleri,3
166,Müşteri hizmetlerine telefon açmak istiyorum.,musterihizmetleri,3
167,Müşteri destek hattına ulaşmak istiyorum.,musterihizmetleri,3
168,Müşteri temsilcisiyle telefon görüşmesi yapmak istiyorum.,musterihizmetleri,3
169,Müşteri hizmetlerine yazılı olarak ulaşmak istiyorum.,musterihizmetleri,3
170,Müşteri temsilcisi ile görüşme ayarlamak istiyorum.,musterihizmetleri,3
171,Müşteri destek ekibine ulaşmak istiyorum.,musterihizmetleri,3
172,Müşteri hizmetleri ile bağlantıya geçmek istiyorum.,musterihizmetleri,3
173,Müşteri destek hattı ile görüşmem gerekiyor.,musterihizmetleri,3
174,kredi kartı şifremi değiştirmek istiyorum,yenisifre,5
175,kredi kartı şifresini değiştirmek istiyorum,yenisifre,5
176,kart şifremi yenilemek istiyorum,yenisifre,5
177,yeni kart şifresi istiyorum,yenisifre,5
178,kart şifremi sıfırlamak istiyorum,yenisifre,5
179,kredi kartı şifremi sıfırlamak istiyorum,yenisifre,5
180,kart şifremi değiştirmek istiyorum,yenisifre,5
181,kredi kartı şifremi yenilemek istiyorum,yenisifre,5
182,yeni kredi kartı şifresi talep ediyorum,yenisifre,5
183,kredi kartımın şifresini sıfırlamak istiyorum,yenisifre,5
184,kart şifremi güncellemek istiyorum,yenisifre,5
185,şifremi değiştirmek istiyorum,yenisifre,5
186,kartımın şifresini değiştirmek istiyorum,yenisifre,5
187,kredi kartımın şifresini yenilemek istiyorum,yenisifre,5
188,kart şifremi değiştirebilir miyim,yenisifre,5
189,kredi kartı şifremi değiştirebilir miyim,yenisifre,5
190,kredi kartı şifremi sıfırlayabilir miyim,yenisifre,5
191,kart şifremi sıfırlamak mümkün mü,yenisifre,5
192,yeni kart şifresi oluşturmak istiyorum,yenisifre,5
193,kart şifremi değiştirebilir misiniz,yenisifre,5
194,kredi kartı şifremi sıfırlayabilir misiniz,yenisifre,5
195,kart şifremi değiştirme işlemi yapmak istiyorum,yenisifre,5
196,kredi kartı şifremi yenilemek için yardımcı olur musunuz,yenisifre,5
197,kart şifresi sıfırlama işlemi yapmak istiyorum,yenisifre,5
198,kredi kartımın şifresini sıfırlamak istiyorum,yenisifre,5
199,kart şifresini sıfırlamak için yardım istiyorum,yenisifre,5
200,yeni bir kart şifresi belirlemek istiyorum,yenisifre,5
201,kart şifresi oluşturmak istiyorum,yenisifre,5
202,kart şifremi yenilemek için nasıl bir işlem yapmalıyım,yenisifre,5
203,kredi kartı şifremi değiştirmek için nasıl bir işlem yapmalıyım,yenisifre,5
204,kart şifresi değiştirmek için ne yapmalıyım,yenisifre,5
205,kredi kartı şifresini değiştirmek için ne yapmalıyım,yenisifre,5
206,kart şifremi sıfırlama adımlarını öğrenmek istiyorum,yenisifre,5
207,yeni kredi kartı şifresi almak istiyorum,yenisifre,5
208,kart şifremi güncellemek için nasıl bir işlem yapmalıyım,yenisifre,5
209,kredi kartı şifremi güncellemek için nasıl bir işlem yapmalıyım,yenisifre,5
210,şifre sıfırlamak istiyorum,yenisifre,5
211,kart şifremi sıfırlama talebinde bulunmak istiyorum,yenisifre,5
212,kredi kartı şifremi sıfırlamak için yardımcı olun,yenisifre,5
213,kart şifremi yenilemek için bilgi almak istiyorum,yenisifre,5
214,kredi kartımın şifresini yenilemek için yardım istiyorum,yenisifre,5
215,yeni kart şifresi belirlemek istiyorum,yenisifre,5
216,şifremi sıfırlamak istiyorum,yenisifre,5
217,yeni şifre almak istiyorum,yenisifre,5
218,kredi kartı şifremi sıfırlayacak bir işlem yapmak istiyorum,yenisifre,5
219,kart şifresi sıfırlama işlemi hakkında bilgi almak istiyorum,yenisifre,5
220,yeni kredi kartı şifresi almak istiyorum,yenisifre,5
221,kart şifremi yenileme işlemi hakkında bilgi almak istiyorum,yenisifre,5
222,kart şifremi sıfırlamak için nasıl yardımcı olabilirsiniz,yenisifre,5
223,kredi kartı şifremi sıfırlamak için nasıl yardımcı olabilirsiniz,yenisifre,5
224,kart şifresini değiştirmek için ne yapmalıyım,yenisifre,5
225,kredi kartı şifresini değiştirmek için nasıl bir işlem yapabilirim,yenisifre,5
226,kart şifremi değiştirmek için ne yapmalıyım,yenisifre,5
