,sorgu,label,le
87,bu ayki kredi kartı ekstremi ödeme zamanımı öğrenmek istiyorum,borcodeme,0
88,kart borcumu online bankacılık üzerinden ödemek istiyorum,borcodeme,0
89,kredi kartı borcumu düzenli olarak kontrol etmek istiyorum,borcodeme,0
90,kart borcumu kapatmak kadar ödemem gerekiyor ,borcodeme,0
91,kredi kartı borcumun güncel tutarını öğrenmek istiyorum,borcodeme,0
92,kart borcumu hemen kapatmalı mıyım yoksa taksitlendirmeli miyim ,borcodeme,0
93,kredi kartı borcumu bir defada kapatmak istiyorum,borcodeme,0
94,kart borcumu kısa sürede ödemek istiyorum,borcodeme,0
95,kredi kartı borcumu ödemek otomatik ödeme talimatı verebilir miyim ,borcodeme,0
96,anneme para göndermek istiyorum,paragonderme,2
97,para transferi yapmak istiyorum,paragonderme,2
98,fast para göndermek istiyorum,paragonderme,2
99,kayıtlı numaraya para transferi,paragonderme,2
100,para göndermek istiyorum,paragonderme,2
101,para transferi yapmak istiyorum,paragonderme,2
102,eft para göndermek istiyorum,paragonderme,2
103,havale para göndermek istiyorum,paragonderme,2
104,anneme hemen para göndermek istiyorum,paragonderme,2
105,hızlı bir şekilde para transferi yapmak istiyorum,paragonderme,2
106,banka hesabına para göndermek istiyorum,paragonderme,2
107,mobil uygulama üzerinden para transferi,paragonderme,2
108,online olarak para göndermek istiyorum,paragonderme,2
109,para transferi yapmalıyım ,paragonderme,2
110,kolay bir şekilde para göndermek istiyorum,paragonderme,2
111,anneme acil para göndermek istiyorum,paragonderme,2
112,para gönderme işlemi yapılır ,paragonderme,2
113,para transferi gereken bilgiler neler ,paragonderme,2
114,hesap numarasına para transferi yapmak istiyorum,paragonderme,2
115,kredi kartıyla para göndermek istiyorum,paragonderme,2
116,para transferi ücretleri neler ,paragonderme,2
117,mobil cüzdan üzerinden para göndermek istiyorum,paragonderme,2
118,banka şubesinden para transferi,paragonderme,2
119,hesap bilgilerini kullanarak para göndermek istiyorum,paragonderme,2
120,para transferi işlem süresi nedir ,paragonderme,2
121,anneme güvenli bir şekilde para göndermek istiyorum,paragonderme,2
122,para gönderme limiti nedir ,paragonderme,2
123,kredi kartıyla hızlı para transferi yapmak istiyorum,paragonderme,2
124,havale ücretleri neler ,paragonderme,2
125,para transferi yaparken nelere dikkat etmeliyim ,paragonderme,2
126,banka hesabıma para göndermek istiyorum,paragonderme,2
127,eft ücretleri nedir ,paragonderme,2
128,mobil uygulama üzerinden hemen para göndermek istiyorum,paragonderme,2
129,kredi kartıyla anında para transferi yapmak istiyorum,paragonderme,2
130,para gönderme işlemi güvenli mi ,paragonderme,2
131,havale yaparken nelere dikkat etmeliyim ,paragonderme,2
132,para transferi sırasında hangi bilgiler gerekli ,paragonderme,2
133,anneme online olarak para göndermek istiyorum,paragonderme,2
134,fast hızlı para göndermek istiyorum,paragonderme,2
135,hesap bilgileri olmadan para transferi yapabilir miyim ,paragonderme,2
136,banka şubesine gitmeden para göndermek istiyorum,paragonderme,2
137,para transferi yaparken alınan komisyonlar neler ,paragonderme,2
138,havale işlemi gereken bilgiler neler ,paragonderme,2
139,kredi kartıyla güvenli para transferi yapmak istiyorum,paragonderme,2
140,para gönderme işlemi sonrasında bilgilendirme alabilirim ,paragonderme,2
141,eft işlem süresi nedir ,paragonderme,2
142,mobil cüzdan kolay para transferi yapmak istiyorum,paragonderme,2
0,Müşteri hizmetleri ile iletişime geçmek istiyorum.,musterihizmetleri,3
1,Müşteri hizmetlerine ulaşmak için yardıma ihtiyacım var.,musterihizmetleri,3
2,Müşteri temsilcisi ile konuşmak istiyorum.,musterihizmetleri,3
3,Müşteri destek hattı ile iletişim kurmak istiyorum.,musterihizmetleri,3
4,Müşteri hizmetleri numarasını arayarak yardım almak istiyorum.,musterihizmetleri,3
5,Müşteri hizmetleri departmanına bağlanmak istiyorum.,musterihizmetleri,3
6,Müşteri temsilcisine doğrudan ulaşmak istiyorum.,musterihizmetleri,3
7,Müşteri destek ekibi ile görüşmem gerekiyor.,musterihizmetleri,3
8,Müşteri hizmetlerine bağlanmam lazım.,musterihizmetleri,3
9,Müşteri hizmetlerine telefonla ulaşabilir miyim?,musterihizmetleri,3
10,Müşteri hizmetlerine mail atmak istiyorum.,musterihizmetleri,3
11,Müşteri hizmetlerinden telefonla destek almak istiyorum.,musterihizmetleri,3
12,Müşteri hizmetleri temsilcisi ile görüşmek istiyorum.,musterihizmetleri,3
13,Müşteri desteği ile konuşmak istiyorum.,musterihizmetleri,3
14,Müşteri hizmetleri ile görüşmem gerekti.,musterihizmetleri,3
15,Müşteri temsilcisi ile acil olarak konuşmam lazım.,musterihizmetleri,3
16,Müşteri destek hattına bağlanmam gerekiyor.,musterihizmetleri,3
17,Müşteri hizmetleri ile irtibata geçmek istiyorum.,musterihizmetleri,3
18,Müşteri hizmetlerine yardım talebinde bulunmak istiyorum.,musterihizmetleri,3
19,Müşteri temsilcisi ile görüşme talep ediyorum.,musterihizmetleri,3
20,Müşteri hizmetlerine direk bağlantı istiyorum.,musterihizmetleri,3
21,Müşteri destek servisi ile konuşmak istiyorum.,musterihizmetleri,3
22,Müşteri hizmetleri ile bir sorunum var.,musterihizmetleri,3
23,Müşteri hizmetlerine telefon açmak istiyorum.,musterihizmetleri,3
24,Müşteri destek hattına ulaşmak istiyorum.,musterihizmetleri,3
25,Müşteri temsilcisiyle telefon görüşmesi yapmak istiyorum.,musterihizmetleri,3
26,Müşteri hizmetlerine yazılı olarak ulaşmak istiyorum.,musterihizmetleri,3
27,Müşteri temsilcisi ile görüşme ayarlamak istiyorum.,musterihizmetleri,3
28,Müşteri destek ekibine ulaşmak istiyorum.,musterihizmetleri,3
29,Müşteri hizmetleri ile bağlantıya geçmek istiyorum.,musterihizmetleri,3
30,Müşteri destek hattı ile görüşmem gerekiyor.,musterihizmetleri,3
